date,region,channel,category,revenue,cost,profit,units_sold,satisfaction_score,segment
2025-03-02,South,Online,Home,50057,34038.76,16018.24,157,4.7,Enterprise
2025-03-03,East,Retail,Fashion,50058,34039.44,16018.56,158,4.8,SMB
2025-03-04,West,Wholesale,Office,50059,34040.12,16018.88,159,4.9,Consumer
2025-03-05,North,Online,Electronics,50060,34040.8,16019.2,160,3.5,Enterprise
2025-03-06,South,Retail,Home,50061,34041.48,16019.52,161,3.6,SMB
2025-03-07,East,Wholesale,Fashion,50062,34042.16,16019.84,162,3.7,Consumer
2025-03-08,West,Online,Office,50063,34042.84,16020.16,163,3.8,Enterprise
2025-03-09,North,Retail,Electronics,50064,34043.52,16020.48,164,3.9,SMB
2025-03-10,South,Wholesale,Home,50065,34044.2,16020.8,165,4.0,Consumer
2025-03-11,East,Online,Fashion,50066,34044.88,16021.12,166,4.1,Enterprise
2025-03-12,West,Retail,Office,50067,34045.56,16021.44,167,4.2,SMB
2025-03-13,North,Wholesale,Electronics,50068,34046.24,16021.76,168,4.3,Consumer
2025-03-14,South,Online,Home,50069,34046.92,16022.08,169,4.4,Enterprise
2025-03-15,East,Retail,Fashion,50070,34047.6,16022.4,170,4.5,SMB
2025-03-16,West,Wholesale,Office,50071,34048.28,16022.72,171,4.6,Consumer
2025-03-17,North,Online,Electronics,50072,34048.96,16023.04,172,4.7,Enterprise
2025-03-18,South,Retail,Home,50073,34049.64,16023.36,173,4.8,SMB
2025-03-19,East,Wholesale,Fashion,50074,34050.32,16023.68,174,4.9,Consumer
2025-03-20,West,Online,Office,50075,34051.0,16024.0,175,3.5,Enterprise
2025-03-21,North,Retail,Electronics,50076,34051.68,16024.32,176,3.6,SMB
2025-03-22,South,Wholesale,Home,50077,34052.36,16024.64,177,3.7,Consumer
2025-03-23,East,Online,Fashion,50078,34053.04,16024.96,178,3.8,Enterprise
2025-03-24,West,Retail,Office,50079,34053.72,16025.28,179,3.9,SMB
2025-03-25,North,Wholesale,Electronics,50080,34054.4,16025.6,180,4.0,Consumer
2025-03-26,South,Online,Home,50081,34055.08,16025.92,181,4.1,Enterprise
2025-03-27,East,Retail,Fashion,50082,34055.76,16026.24,182,4.2,SMB
2025-03-28,West,Wholesale,Office,50083,34056.44,16026.56,183,4.3,Consumer
2025-03-01,North,Online,Electronics,50084,34057.12,16026.88,184,4.4,Enterprise
2025-03-02,South,Retail,Home,50085,34057.8,16027.2,185,4.5,SMB
2025-03-03,East,Wholesale,Fashion,50086,34058.48,16027.52,186,4.6,Consumer
2025-03-04,West,Online,Office,50087,34059.16,16027.84,187,4.7,Enterprise
2025-03-05,North,Retail,Electronics,50088,34059.84,16028.16,188,4.8,SMB
2025-03-06,South,Wholesale,Home,50089,34060.52,16028.48,189,4.9,Consumer
2025-03-07,East,Online,Fashion,50090,34061.2,16028.8,190,3.5,Enterprise
2025-03-08,West,Retail,Office,50091,34061.88,16029.12,191,3.6,SMB
2025-03-09,North,Wholesale,Electronics,50092,34062.56,16029.44,192,3.7,Consumer
2025-03-10,South,Online,Home,50093,34063.24,16029.76,193,3.8,Enterprise
2025-03-11,East,Retail,Fashion,50094,34063.92,16030.08,194,3.9,SMB
2025-03-12,West,Wholesale,Office,50095,34064.6,16030.4,195,4.0,Consumer
2025-03-13,North,Online,Electronics,50096,34065.28,16030.72,196,4.1,Enterprise
2025-03-14,South,Retail,Home,50097,34065.96,16031.04,197,4.2,SMB
2025-03-15,East,Wholesale,Fashion,50098,34066.64,16031.36,198,4.3,Consumer
2025-03-16,West,Online,Office,50099,34067.32,16031.68,199,4.4,Enterprise
2025-03-17,North,Retail,Electronics,50100,34068.0,16032.0,200,4.5,SMB
2025-03-18,South,Wholesale,Home,50101,34068.68,16032.32,201,4.6,Consumer
2025-03-19,East,Online,Fashion,50102,34069.36,16032.64,202,4.7,Enterprise
2025-03-20,West,Retail,Office,50103,34070.04,16032.96,203,4.8,SMB
2025-03-21,North,Wholesale,Electronics,50104,34070.72,16033.28,204,4.9,Consumer
2025-03-22,South,Online,Home,50105,34071.4,16033.6,205,3.5,Enterprise
2025-03-23,East,Retail,Fashion,50106,34072.08,16033.92,206,3.6,SMB
2025-03-24,West,Wholesale,Office,50107,34072.76,16034.24,207,3.7,Consumer
2025-03-25,North,Online,Electronics,50108,34073.44,16034.56,208,3.8,Enterprise
2025-03-26,South,Retail,Home,50109,34074.12,16034.88,209,3.9,SMB
2025-03-27,East,Wholesale,Fashion,50110,34074.8,16035.2,210,4.0,Consumer
2025-03-28,West,Online,Office,50111,34075.48,16035.52,211,4.1,Enterprise
2025-03-01,North,Retail,Electronics,50112,34076.16,16035.84,212,4.2,SMB
2025-03-02,South,Wholesale,Home,50113,34076.84,16036.16,213,4.3,Consumer
2025-03-03,East,Online,Fashion,50114,34077.52,16036.48,214,4.4,Enterprise
2025-03-04,West,Retail,Office,50115,34078.2,16036.8,215,4.5,SMB
2025-03-05,North,Wholesale,Electronics,50116,34078.88,16037.12,216,4.6,Consumer
2025-03-06,South,Online,Home,50117,34079.56,16037.44,217,4.7,Enterprise
2025-03-07,East,Retail,Fashion,50118,34080.24,16037.76,218,4.8,SMB
2025-03-08,West,Wholesale,Office,50119,34080.92,16038.08,219,4.9,Consumer
2025-03-09,North,Online,Electronics,50120,34081.6,16038.4,220,3.5,Enterprise
2025-03-10,South,Retail,Home,50121,34082.28,16038.72,221,3.6,SMB
2025-03-11,East,Wholesale,Fashion,50122,34082.96,16039.04,222,3.7,Consumer
2025-03-12,West,Online,Office,50123,34083.64,16039.36,223,3.8,Enterprise
2025-03-13,North,Retail,Electronics,50124,34084.32,16039.68,224,3.9,SMB
2025-03-14,South,Wholesale,Home,50125,34085.0,16040.0,225,4.0,Consumer
2025-03-15,East,Online,Fashion,50126,34085.68,16040.32,226,4.1,Enterprise
2025-03-16,West,Retail,Office,50127,34086.36,16040.64,227,4.2,SMB
2025-03-17,North,Wholesale,Electronics,50128,34087.04,16040.96,228,4.3,Consumer
2025-03-18,South,Online,Home,50129,34087.72,16041.28,229,4.4,Enterprise
2025-03-19,East,Retail,Fashion,50130,34088.4,16041.6,230,4.5,SMB
2025-03-20,West,Wholesale,Office,50131,34089.08,16041.92,231,4.6,Consumer
2025-03-21,North,Online,Electronics,50132,34089.76,16042.24,232,4.7,Enterprise
2025-03-22,South,Retail,Home,50133,34090.44,16042.56,233,4.8,SMB
2025-03-23,East,Wholesale,Fashion,50134,34091.12,16042.88,234,4.9,Consumer
2025-03-24,West,Online,Office,50135,34091.8,16043.2,235,3.5,Enterprise
2025-03-25,North,Retail,Electronics,50136,34092.48,16043.52,236,3.6,SMB
2025-03-26,South,Wholesale,Home,50137,34093.16,16043.84,237,3.7,Consumer
2025-03-27,East,Online,Fashion,50138,34093.84,16044.16,238,3.8,Enterprise
2025-03-28,West,Retail,Office,50139,34094.52,16044.48,239,3.9,SMB
2025-03-01,North,Wholesale,Electronics,50140,34095.2,16044.8,240,4.0,Consumer
2025-03-02,South,Online,Home,50141,34095.88,16045.12,241,4.1,Enterprise
2025-03-03,East,Retail,Fashion,50142,34096.56,16045.44,242,4.2,SMB
2025-03-04,West,Wholesale,Office,50143,34097.24,16045.76,243,4.3,Consumer
2025-03-05,North,Online,Electronics,50144,34097.92,16046.08,244,4.4,Enterprise
2025-03-06,South,Retail,Home,50145,34098.6,16046.4,245,4.5,SMB
2025-03-07,East,Wholesale,Fashion,50146,34099.28,16046.72,246,4.6,Consumer
2025-03-08,West,Online,Office,50147,34099.96,16047.04,247,4.7,Enterprise
2025-03-09,North,Retail,Electronics,50148,34100.64,16047.36,248,4.8,SMB
2025-03-10,South,Wholesale,Home,50149,34101.32,16047.68,249,4.9,Consumer
2025-03-11,East,Online,Fashion,50150,34102.0,16048.0,250,3.5,Enterprise
2025-03-12,West,Retail,Office,50151,34102.68,16048.32,251,3.6,SMB
2025-03-13,North,Wholesale,Electronics,50152,34103.36,16048.64,252,3.7,Consumer
2025-03-14,South,Online,Home,50153,34104.04,16048.96,253,3.8,Enterprise
2025-03-15,East,Retail,Fashion,50154,34104.72,16049.28,254,3.9,SMB
2025-03-16,West,Wholesale,Office,50155,34105.4,16049.6,255,4.0,Consumer
2025-03-17,North,Online,Electronics,50156,34106.08,16049.92,256,4.1,Enterprise
2025-03-18,South,Retail,Home,50157,34106.76,16050.24,257,4.2,SMB
2025-03-19,East,Wholesale,Fashion,50158,34107.44,16050.56,258,4.3,Consumer
2025-03-20,West,Online,Office,50159,34108.12,16050.88,259,4.4,Enterprise
2025-03-21,North,Retail,Electronics,50160,34108.8,16051.2,260,4.5,SMB
2025-03-22,South,Wholesale,Home,50161,34109.48,16051.52,261,4.6,Consumer
2025-03-23,East,Online,Fashion,50162,34110.16,16051.84,262,4.7,Enterprise
2025-03-24,West,Retail,Office,50163,34110.84,16052.16,263,4.8,SMB
2025-03-25,North,Wholesale,Electronics,50164,34111.52,16052.48,264,4.9,Consumer
2025-03-26,South,Online,Home,50165,34112.2,16052.8,265,3.5,Enterprise
2025-03-27,East,Retail,Fashion,50166,34112.88,16053.12,266,3.6,SMB
2025-03-28,West,Wholesale,Office,50167,34113.56,16053.44,267,3.7,Consumer
2025-03-01,North,Online,Electronics,50168,34114.24,16053.76,268,3.8,Enterprise
2025-03-02,South,Retail,Home,50169,34114.92,16054.08,269,3.9,SMB
2025-03-03,East,Wholesale,Fashion,50170,34115.6,16054.4,270,4.0,Consumer
2025-03-04,West,Online,Office,50171,34116.28,16054.72,271,4.1,Enterprise
2025-03-05,North,Retail,Electronics,50172,34116.96,16055.04,272,4.2,SMB
2025-03-06,South,Wholesale,Home,50173,34117.64,16055.36,273,4.3,Consumer
2025-03-07,East,Online,Fashion,50174,34118.32,16055.68,274,4.4,Enterprise
2025-03-08,West,Retail,Office,50175,34119.0,16056.0,275,4.5,SMB
2025-03-09,North,Wholesale,Electronics,50176,34119.68,16056.32,276,4.6,Consumer
2025-03-10,South,Online,Home,50177,34120.36,16056.64,277,4.7,Enterprise
2025-03-11,East,Retail,Fashion,50178,34121.04,16056.96,278,4.8,SMB
2025-03-12,West,Wholesale,Office,50179,34121.72,16057.28,279,4.9,Consumer
2025-03-13,North,Online,Electronics,50180,34122.4,16057.6,280,3.5,Enterprise
2025-03-14,South,Retail,Home,50181,34123.08,16057.92,281,3.6,SMB
2025-03-15,East,Wholesale,Fashion,50182,34123.76,16058.24,282,3.7,Consumer
2025-03-16,West,Online,Office,50183,34124.44,16058.56,283,3.8,Enterprise
2025-03-17,North,Retail,Electronics,50184,34125.12,16058.88,284,3.9,SMB
2025-03-18,South,Wholesale,Home,50185,34125.8,16059.2,285,4.0,Consumer
2025-03-19,East,Online,Fashion,50186,34126.48,16059.52,286,4.1,Enterprise
2025-03-20,West,Retail,Office,50187,34127.16,16059.84,287,4.2,SMB
2025-03-21,North,Wholesale,Electronics,50188,34127.84,16060.16,288,4.3,Consumer
2025-03-22,South,Online,Home,50189,34128.52,16060.48,289,4.4,Enterprise
2025-03-23,East,Retail,Fashion,50190,34129.2,16060.8,290,4.5,SMB
2025-03-24,West,Wholesale,Office,50191,34129.88,16061.12,291,4.6,Consumer
2025-03-25,North,Online,Electronics,50192,34130.56,16061.44,292,4.7,Enterprise
2025-03-26,South,Retail,Home,50193,34131.24,16061.76,293,4.8,SMB
2025-03-27,East,Wholesale,Fashion,50194,34131.92,16062.08,294,4.9,Consumer
2025-03-28,West,Online,Office,50195,34132.6,16062.4,295,3.5,Enterprise
2025-03-01,North,Retail,Electronics,50196,34133.28,16062.72,296,3.6,SMB
2025-03-02,South,Wholesale,Home,50197,34133.96,16063.04,297,3.7,Consumer
2025-03-03,East,Online,Fashion,50198,34134.64,16063.36,298,3.8,Enterprise
2025-03-04,West,Retail,Office,50199,34135.32,16063.68,299,3.9,SMB
2025-03-05,North,Wholesale,Electronics,50200,34136.0,16064.0,300,4.0,Consumer
2025-03-06,South,Online,Home,50201,34136.68,16064.32,301,4.1,Enterprise
2025-03-07,East,Retail,Fashion,50202,34137.36,16064.64,302,4.2,SMB
2025-03-08,West,Wholesale,Office,50203,34138.04,16064.96,303,4.3,Consumer
2025-03-09,North,Online,Electronics,50204,34138.72,16065.28,304,4.4,Enterprise
2025-03-10,South,Retail,Home,50205,34139.4,16065.6,305,4.5,SMB
2025-03-11,East,Wholesale,Fashion,50206,34140.08,16065.92,306,4.6,Consumer
2025-03-12,West,Online,Office,50207,34140.76,16066.24,307,4.7,Enterprise
2025-03-13,North,Retail,Electronics,50208,34141.44,16066.56,308,4.8,SMB
2025-03-14,South,Wholesale,Home,50209,34142.12,16066.88,309,4.9,Consumer
2025-03-15,East,Online,Fashion,50210,34142.8,16067.2,310,3.5,Enterprise
2025-03-16,West,Retail,Office,50211,34143.48,16067.52,311,3.6,SMB
2025-03-17,North,Wholesale,Electronics,50212,34144.16,16067.84,312,3.7,Consumer
2025-03-18,South,Online,Home,50213,34144.84,16068.16,313,3.8,Enterprise
2025-03-19,East,Retail,Fashion,50214,34145.52,16068.48,314,3.9,SMB
2025-03-20,West,Wholesale,Office,50215,34146.2,16068.8,315,4.0,Consumer
2025-03-21,North,Online,Electronics,50216,34146.88,16069.12,316,4.1,Enterprise
2025-03-22,South,Retail,Home,50217,34147.56,16069.44,317,4.2,SMB
2025-03-23,East,Wholesale,Fashion,50218,34148.24,16069.76,318,4.3,Consumer
2025-03-24,West,Online,Office,50219,34148.92,16070.08,319,4.4,Enterprise
2025-03-25,North,Retail,Electronics,50220,34149.6,16070.4,320,4.5,SMB
2025-03-26,South,Wholesale,Home,50221,34150.28,16070.72,321,4.6,Consumer
2025-03-27,East,Online,Fashion,50222,34150.96,16071.04,322,4.7,Enterprise
2025-03-28,West,Retail,Office,50223,34151.64,16071.36,323,4.8,SMB
2025-03-01,North,Wholesale,Electronics,50224,34152.32,16071.68,324,4.9,Consumer
2025-03-02,South,Online,Home,50225,34153.0,16072.0,325,3.5,Enterprise
2025-03-03,East,Retail,Fashion,50226,34153.68,16072.32,326,3.6,SMB
2025-03-04,West,Wholesale,Office,50227,34154.36,16072.64,327,3.7,Consumer
2025-03-05,North,Online,Electronics,50228,34155.04,16072.96,328,3.8,Enterprise
2025-03-06,South,Retail,Home,50229,34155.72,16073.28,329,3.9,SMB
2025-03-07,East,Wholesale,Fashion,50230,34156.4,16073.6,330,4.0,Consumer
2025-03-08,West,Online,Office,50231,34157.08,16073.92,331,4.1,Enterprise
2025-03-09,North,Retail,Electronics,50232,34157.76,16074.24,332,4.2,SMB
2025-03-10,South,Wholesale,Home,50233,34158.44,16074.56,333,4.3,Consumer
2025-03-11,East,Online,Fashion,50234,34159.12,16074.88,334,4.4,Enterprise
2025-03-12,West,Retail,Office,50235,34159.8,16075.2,335,4.5,SMB
2025-03-13,North,Wholesale,Electronics,50236,34160.48,16075.52,336,4.6,Consumer
2025-03-14,South,Online,Home,50237,34161.16,16075.84,337,4.7,Enterprise
2025-03-15,East,Retail,Fashion,50238,34161.84,16076.16,338,4.8,SMB
2025-03-16,West,Wholesale,Office,50239,34162.52,16076.48,339,4.9,Consumer
2025-03-17,North,Online,Electronics,50240,34163.2,16076.8,340,3.5,Enterprise
2025-03-18,South,Retail,Home,50241,34163.88,16077.12,341,3.6,SMB
2025-03-19,East,Wholesale,Fashion,50242,34164.56,16077.44,342,3.7,Consumer
2025-03-20,West,Online,Office,50243,34165.24,16077.76,343,3.8,Enterprise
2025-03-21,North,Retail,Electronics,50244,34165.92,16078.08,344,3.9,SMB
2025-03-22,South,Wholesale,Home,50245,34166.6,16078.4,345,4.0,Consumer
2025-03-23,East,Online,Fashion,50246,34167.28,16078.72,346,4.1,Enterprise
2025-03-24,West,Retail,Office,50247,34167.96,16079.04,347,4.2,SMB
2025-03-25,North,Wholesale,Electronics,50248,34168.64,16079.36,348,4.3,Consumer
2025-03-26,South,Online,Home,50249,34169.32,16079.68,349,4.4,Enterprise
2025-03-27,East,Retail,Fashion,50250,34170.0,16080.0,350,4.5,SMB
2025-03-28,West,Wholesale,Office,50251,34170.68,16080.32,351,4.6,Consumer
2025-03-01,North,Online,Electronics,50252,34171.36,16080.64,352,4.7,Enterprise
2025-03-02,South,Retail,Home,50253,34172.04,16080.96,353,4.8,SMB
2025-03-03,East,Wholesale,Fashion,50254,34172.72,16081.28,354,4.9,Consumer
2025-03-04,West,Online,Office,50255,34173.4,16081.6,355,3.5,Enterprise
2025-03-05,North,Retail,Electronics,50256,34174.08,16081.92,356,3.6,SMB
2025-03-06,South,Wholesale,Home,50257,34174.76,16082.24,357,3.7,Consumer
2025-03-07,East,Online,Fashion,50258,34175.44,16082.56,358,3.8,Enterprise
2025-03-08,West,Retail,Office,50259,34176.12,16082.88,359,3.9,SMB
2025-03-09,North,Wholesale,Electronics,50260,34176.8,16083.2,360,4.0,Consumer
2025-03-10,South,Online,Home,50261,34177.48,16083.52,361,4.1,Enterprise
2025-03-11,East,Retail,Fashion,50262,34178.16,16083.84,362,4.2,SMB
2025-03-12,West,Wholesale,Office,50263,34178.84,16084.16,363,4.3,Consumer
2025-03-13,North,Online,Electronics,50264,34179.52,16084.48,364,4.4,Enterprise
2025-03-14,South,Retail,Home,50265,34180.2,16084.8,365,4.5,SMB
2025-03-15,East,Wholesale,Fashion,50266,34180.88,16085.12,366,4.6,Consumer
2025-03-16,West,Online,Office,50267,34181.56,16085.44,367,4.7,Enterprise
2025-03-17,North,Retail,Electronics,50268,34182.24,16085.76,368,4.8,SMB
2025-03-18,South,Wholesale,Home,50269,34182.92,16086.08,369,4.9,Consumer
2025-03-19,East,Online,Fashion,50270,34183.6,16086.4,370,3.5,Enterprise
2025-03-20,West,Retail,Office,50271,34184.28,16086.72,371,3.6,SMB
2025-03-21,North,Wholesale,Electronics,50272,34184.96,16087.04,372,3.7,Consumer
2025-03-22,South,Online,Home,50273,34185.64,16087.36,373,3.8,Enterprise
2025-03-23,East,Retail,Fashion,50274,34186.32,16087.68,374,3.9,SMB
2025-03-24,West,Wholesale,Office,50275,34187.0,16088.0,375,4.0,Consumer
2025-03-25,North,Online,Electronics,50276,34187.68,16088.32,376,4.1,Enterprise
2025-03-26,South,Retail,Home,50277,34188.36,16088.64,377,4.2,SMB
2025-03-27,East,Wholesale,Fashion,50278,34189.04,16088.96,378,4.3,Consumer
2025-03-28,West,Online,Office,50279,34189.72,16089.28,379,4.4,Enterprise
2025-03-01,North,Retail,Electronics,50280,34190.4,16089.6,380,4.5,SMB
2025-03-02,South,Wholesale,Home,50281,34191.08,16089.92,381,4.6,Consumer
2025-03-03,East,Online,Fashion,50282,34191.76,16090.24,382,4.7,Enterprise
2025-03-04,West,Retail,Office,50283,34192.44,16090.56,383,4.8,SMB
2025-03-05,North,Wholesale,Electronics,50284,34193.12,16090.88,384,4.9,Consumer
2025-03-06,South,Online,Home,50285,34193.8,16091.2,385,3.5,Enterprise
2025-03-07,East,Retail,Fashion,50286,34194.48,16091.52,386,3.6,SMB
2025-03-08,West,Wholesale,Office,50287,34195.16,16091.84,387,3.7,Consumer
2025-03-09,North,Online,Electronics,50288,34195.84,16092.16,388,3.8,Enterprise
2025-03-10,South,Retail,Home,50289,34196.52,16092.48,389,3.9,SMB
2025-03-11,East,Wholesale,Fashion,50290,34197.2,16092.8,390,4.0,Consumer
2025-03-12,West,Online,Office,50291,34197.88,16093.12,391,4.1,Enterprise
2025-03-13,North,Retail,Electronics,50292,34198.56,16093.44,392,4.2,SMB
2025-03-14,South,Wholesale,Home,50293,34199.24,16093.76,393,4.3,Consumer
2025-03-15,East,Online,Fashion,50294,34199.92,16094.08,394,4.4,Enterprise
2025-03-16,West,Retail,Office,50295,34200.6,16094.4,395,4.5,SMB
2025-03-17,North,Wholesale,Electronics,50296,34201.28,16094.72,396,4.6,Consumer
2025-03-18,South,Online,Home,50297,34201.96,16095.04,397,4.7,Enterprise
2025-03-19,East,Retail,Fashion,50298,34202.64,16095.36,398,4.8,SMB
2025-03-20,West,Wholesale,Office,50299,34203.32,16095.68,399,4.9,Consumer
2025-03-21,North,Online,Electronics,50300,34204.0,16096.0,400,3.5,Enterprise
2025-03-22,South,Retail,Home,50301,34204.68,16096.32,401,3.6,SMB
2025-03-23,East,Wholesale,Fashion,50302,34205.36,16096.64,402,3.7,Consumer
2025-03-24,West,Online,Office,50303,34206.04,16096.96,403,3.8,Enterprise
2025-03-25,North,Retail,Electronics,50304,34206.72,16097.28,404,3.9,SMB
2025-03-26,South,Wholesale,Home,50305,34207.4,16097.6,405,4.0,Consumer
2025-03-27,East,Online,Fashion,50306,34208.08,16097.92,406,4.1,Enterprise
2025-03-28,West,Retail,Office,50307,34208.76,16098.24,407,4.2,SMB
2025-03-01,North,Wholesale,Electronics,50308,34209.44,16098.56,408,4.3,Consumer
2025-03-02,South,Online,Home,50309,34210.12,16098.88,409,4.4,Enterprise
2025-03-03,East,Retail,Fashion,50310,34210.8,16099.2,410,4.5,SMB
2025-03-04,West,Wholesale,Office,50311,34211.48,16099.52,411,4.6,Consumer
2025-03-05,North,Online,Electronics,50312,34212.16,16099.84,412,4.7,Enterprise
2025-03-06,South,Retail,Home,50313,34212.84,16100.16,413,4.8,SMB
2025-03-07,East,Wholesale,Fashion,50314,34213.52,16100.48,414,4.9,Consumer
2025-03-08,West,Online,Office,50315,34214.2,16100.8,415,3.5,Enterprise
2025-03-09,North,Retail,Electronics,50316,34214.88,16101.12,416,3.6,SMB
2025-03-10,South,Wholesale,Home,50317,34215.56,16101.44,417,3.7,Consumer
2025-03-11,East,Online,Fashion,50318,34216.24,16101.76,418,3.8,Enterprise
2025-03-12,West,Retail,Office,50319,34216.92,16102.08,419,3.9,SMB
2025-03-13,North,Wholesale,Electronics,50320,34217.6,16102.4,420,4.0,Consumer
2025-03-14,South,Online,Home,50321,34218.28,16102.72,421,4.1,Enterprise
2025-03-15,East,Retail,Fashion,50322,34218.96,16103.04,422,4.2,SMB
2025-03-16,West,Wholesale,Office,50323,34219.64,16103.36,423,4.3,Consumer
2025-03-17,North,Online,Electronics,50324,34220.32,16103.68,424,4.4,Enterprise
2025-03-18,South,Retail,Home,50325,34221.0,16104.0,425,4.5,SMB
2025-03-19,East,Wholesale,Fashion,50326,34221.68,16104.32,426,4.6,Consumer
2025-03-20,West,Online,Office,50327,34222.36,16104.64,427,4.7,Enterprise
2025-03-21,North,Retail,Electronics,50328,34223.04,16104.96,428,4.8,SMB
2025-03-22,South,Wholesale,Home,50329,34223.72,16105.28,429,4.9,Consumer
2025-03-23,East,Online,Fashion,50330,34224.4,16105.6,430,3.5,Enterprise
2025-03-24,West,Retail,Office,50331,34225.08,16105.92,431,3.6,SMB
2025-03-25,North,Wholesale,Electronics,50332,34225.76,16106.24,432,3.7,Consumer
2025-03-26,South,Online,Home,50333,34226.44,16106.56,433,3.8,Enterprise
2025-03-27,East,Retail,Fashion,50334,34227.12,16106.88,434,3.9,SMB
2025-03-28,West,Wholesale,Office,50335,34227.8,16107.2,435,4.0,Consumer
2025-03-01,North,Online,Electronics,50336,34228.48,16107.52,436,4.1,Enterprise
